,,,,,,,,,,,,,,,,,,,,
MONTHLY BELL TESTING,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Telus: 1-855-958-8181,Victoria Alarm Service: 1-855-777-8632,,,Tyco: 1-800-289-2647,,,,,,,,,,,,,,,
,Absolute: 250-475-3262,PR Bridge Systems: 1877-685-5625,,,Fusion: 1-778-371-7376,,,,,,,,,,,,,,,
,Reliance Protection: 250-388-9211,Paladin: 1-800-241-1122,,,ADT: 250-381-5133,,,,,,,,,,,,,,,
,Protec: 250-474-0151,Chubb: 1-877-856-3852,,,Bullet: 1-866-282-6544,,,,,,,,,,,,,,,
,Thorn: 1-800-561-5433,Shark (Kane): 250-884-6469,,,Troy: 1-833-920-2166,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ROUTE:,2nd Thurs,,Route 15,Downtown 3 (Early),,,,,,,,,,,,,,,
,DATE:,April,,2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
#,Location Details,Annual,Ring,Key #,FACP,Monitoring,Testing Procedures,Technician Notes & Comments,Time In:,Time Out:,,,,,,,,,,
1,"Address: 2020 Richmond 
Name: Richmond Medical
Managemet: Brown Bros.
",December,N/A,w/ Parking Attendant,"PANEL: EDWARDS 6500
LOCATION: Electrical room","COMPANY: Bullet
SIGNALS: A T
ACCT: # 19-6103 
PASSWORD: Control","RING BELLS BY 7:45AM

Meet Mike (parking attendant) in the parkade and he will open the electrical room","Mike (Parking Attendant) 250-217-9695

NOV/25(VCS) - Signal silence didn't work has to use the reset to silence bells. 

",7:08,7:21,,,,,,,,,,
2,"Address: 1830 Oak Bay Avenue 
Name: Jubilee Professional Building 
Management:  Richmond Property Group
",April,R1,KA 0381,"PANEL: Mircom 1000
LOCATION: Parkade Level 1 Electrical Room (Corner) ","COMPANY: Protec
SIGNALS: 
ACCT: 303254 
PHONE: 250-474-0151 ext 1","**Dentists onsite** Request by site to give them a heads up before to ring bells
**test before 8:30am**","Annual has not been done here since may 2024 due to site cancelling & rennovations.
VV issue on Projects radar FEB/25:

CONFIRM MONITORING INFO IN AUGUST 2025",ANNUAL BOOKED APRIL,ANNUAL BOOKED APRIL,,,,,,,,,,
3,"Address: 908 Pandora Avenue
Name: VEFRA
Management: Coliers
",January,R1,PD 809,"PANEL: Simplex 4007ES
LOCATION: Parkade Electrical by Stall 52","COMPANY: Paladin
SIGNALS: 
ACCT: PTDD21","Test before 8am. 

Park in underground parkade accessible on Mason St. Use keycard for access.               March 2026 hf : bring B key next month for panel    ","Colin (778-974-4527)

Keyfob works for underground parking. Red key for elec room.
 
Red key for electrical room is correct, but the key is very sticky. Keep trying it.
 
Clear pin pad with 1234 a few times

Dec24 DF: New fob added ",7:31,7:41,,,,,,,,,,
4,"Address:1205 Broad St
(650 View St) 
Name:
Management: Servissio
",December,R1,FB 056 [K2],"PANEL: EDWARDS QUICKSTART (CONVENTIONAL) 
LOCATION: Elec Room in 1205 Broad St Basement","COMPANY: Paladin
SIGNALS: A T
ACCT: 112096","Access by unlocking the front door using the lock at the bottom of the door, then using the fob.
Key on key ring overrides the FOB system for the front door.
May/21 (cs) Door Code #125 for basement access.","😊 Washrooms on opposite electrical room.
Rick Restell (Phone: 250-686-7924) has advised that the doors have been rekeyed in the last couple weeks so our MBT keys may not work. Call him after stop #2 and he will meet us onsite. He has made a calendar entry for himself and I told we arrive between 8-830am. Also there are electricians onsite that may be relocating the FAP in the next few days as well.
LW KD AUG 2025: They are mid construction and all devices were pulled off the wall. Rick said he will let us know when building is in testing condition.
1/26(KD): As per previous note, this building is not accessible/testable due to ongoing construction. FACP dismantled and no devices installed/operational.  ",SKIP DUE CONSTRUCTION,SKIP DUE CONSTRUCTION,,,,,,,,,,
5,"Address:8 Bastion Square 
Name: 
Management: Servissio
",September,R1,Y 8  [K9],"PANEL: MIRCOM FX-2000
LOCATION: in electrical room off back alley through gate and downstairs. ","COMPANY: Thorn
SIGNALS: A T
ACCT: 52 01 5239
PASSWORD: Cantec@8bastion","FACP PW: 3333, 2222 & 1111

Building has intrusion alarm (not monitored) Will turn off after alarm. 

NO front door key will be provided for this monthly, enter at back through chain link fence door, electrical room down the stairs and straight ahead on the left.

Use Relay Bypass",3rd floor is never accessible as it is a high security government office. Rotate through other zones.,7:51,8:00,,,,,,,,,,
6,"Address:1127 Wharf Street
Name: Darcy’s/Upstairs Cabaret
Management: Darcy’s
",May ,N/A,On Site,"PANEL: MIRTONE MR1-2Z6
LOCATION: in electrical room","COMPANY: Telus
SIGNALS: A T
ACCT: PA-04-01-3303","Kitchen Staff Usually there by 7:00  – Warn before testing.
Doorbell by front door under left end of wood bar (white button).  Access from entrance. Electrical room up small staircase by main floor washrooms.","April/21 (SD) Try door, it’s usually unlocked.
Feb/22 (JG) Key for 2nd floor access under the bar by the telephone on post. 
Electrical room code: 1127

March/24: Monitoring problem has been resolved

",ANNUAL BOOKED APRIL,ANNUAL BOOKED APRIL,,,,,,,,,,
7,"Address:500 Fort Street
Name: Keg at The Harbour
Management: Bigstake Ventures Ltd
",June,N/A,Manager on site,"PANEL: MIRCOM FX2000 (NEW 2011)
LOCATION: Back door for access","COMPANY: Kobaltb(Same As Thorn)
SIGNALS: 
ACCT: 2401-7443
PHONE: 1-800-561-5433","Prep staff are onsite at 7:30am and they don't open until 4:30pm so we can test anytime. Jon Tinker should have arranged for a manager to give access to the electrical room. He can get us keys or a lock box and give us the code if it would be better than having an onsite manager give access.

Check in with kitchen staff before ringing bells for safety reasons.

Acess alley off Langley, 2nd floor black door (up the greasy metal stairs). Door will be open.","John Tinker direct phone 250-889-5555 / 250-386-7789 - call if don't have access 

April/25 (WD) Fire alarm panel is located in upper dining hall, back right corner near host station. We tested the pull station beside fire alarm breaker.
May/25 (WD) Head chef is on site he has access to fire alarm panel, the breaker is located in kitchen behind white painted cupboard with little lock latch beside freezer you will pass it on your way in.",8:07,8:16,,,,,,,,,,
8,"Address:506 Fort Street 
Name: 
Management: Homesphere Prop
",July,R1,383,"PANEL: Mircom Flexnet 
LOCATION: Electrical room on left down hall from entrance","COMPANY: Bullet
SIGNALS: 
ACCT: #19-7958
PASSWORD: Grape",Use Fan/Light bypass,"AUG 2025 LW & KD GAVE KEY TO ADAM.
",8:17,8:23,,,,,,,,,,
9,"Address:1001 Wharf Street
Name: Army & Navy
Management: Pastoral Developments
",September,R1,"NA 1001
[K2, F1]","PANEL: POTTER PFC 5000 SERIES
LOCATION: in Basement Elec. Room. ","COMPANY: Telus
SIGNALS: A T
ACCT: PA-06-03-0988","Access Basement Electrician room by going to 2nd floor, walk down hallway to SW stairs. Follow stairs to basement.

Door code for basement: Push green button, then press 6480

**test before 11am**","April 20/22 (sd’) Unit #300-Sunday Market, Access Code: 8989 (key card n key ring)
Nick Houniet: 250-888-8129",8:24,,,,,,,,,,,
10,"1002 Wharf Street
Name: Malahat Bld
Management: Malahat Prop.
",January,N/A,at reception,"PANEL: MIRTONE 7600
LOCATION: Basement electrical room outside around back.","COMPANY: Telus
SIGNALS: A T
ACCT: T080-332-022",Buzz door for staff to get access. Ask for blue electrical room keys. Kept in a lock box in the room to the right of the main floor elevator. ,,,8:50,,,,,,,,,,
11,"Address:1000-1012 Douglas Street 
Name: Broughton Building
Management: Itziar Management Ltd. (0824606 BC Ltd.)
",June,R1,D 2101,"PANEL: EDWARDS 2280
LOCATION: In Alley Electrical Room. (access alley between Tibetan Restaurant and Broughton Deli)","COMPANY: Troy
SIGNALS: 
ACCT: 53-01-1514",Access to the main building on Douglas St. ,"New keys received. No access to 3rd floor.

August/25(KD): Confirmed relay operation. The monitoring wires were very loosely held in terminal, this could explain why it worked only some of the time. Confirmed trouble and alarm transmission for August and the issue is likely resolved.",8:55,9:03,,,,,,,,,,
12,"Address:1005 Broad Street
Name: Counting House
Management: Richmond
",March,R1,K 5001 [K4],"PANEL: EDWARDS 2280
LOCATION: In Power Room on 3rd Floor by 307.","COMPANY: Telus
SIGNALS: A T
ACCT: PA-06-03-0923",WARN DENTIST ON 3RD FLOOR ,,9:06,,,,,,,,,,,
13,"Address:645 Fort Street 
Name: Yarrow Bldg.
Management: Newport Prop
",June,N/A,N/A,"PANEL: Simplex 4100
LOCATION: Basement electrical room ","COMPANY: Telus
SIGNALS: 
ACCT: #g272422790","Panel code 333 as needed 
Menu - 1 - Enter - 333 - Enter.
Enter main entrance, take elevator to basement. Follow hallway to the courtyard. Enter door on left, key code 629. Enter and electrical room is on the right. Brian should be there. 
Call Brian 778-676-0343 if boiler/bike room is locked. FACP breaker in boiler/bike room 

Enable manual control ahead of time to silence bells ",,9:17,9:27,,,,,,,,,,
14,"Address:623 Fort St. 
Name: Argus Building
Management: Fort St Prop
",March,R1,FS 326,"PANEL: Mircom 2000
LOCATION: Basement Electrical Room ","COMPANY: Paladin/M6
SIGNALS: 
ACCT:PTD412
PASSWORD: duty","Pass 2222. Front desk has fob for elevator and floor access
 
Enable relay and elevator bypass. Use signal bypass instead of signal silence (signal silence only silences some of the bells)","

MAY/24 (JM): Signal silence did not appear to silence bells. Used signal bypass to silence.

May/24 (JZ) - Verify signal silence function June MBT

JUN/25 (KD) - signal silence illuminates but only silences basement and 1st floor, use signal bypass to silence bells
",9:29,9:37,,,,,,,,,,
